EventID,SessionID,EventTypeID,EventTarget,StartDateTimeUTC,EndDateTimeUTC,EventDataBlob
2,1,1,,2016-03-16 23:49:31.7040000,2016-03-16 23:49:31.8740000,4E72434D475A5154674767466A6A41444158526D53536167477A494853676F7041
63,4,2,,2016-03-16 23:53:58.4560000,2016-03-16 23:54:03.4340000,4E72424D4459426F415946314F41526C415A68674F6B664A414F484852745245317030556A52514D415753714D67566B6F48594E787362454830584F424F486A6D794D553044507845312B6B4C416B616A5A6D4551715746353447596E5163454C46754F31384565526B75454A2B6F4E74736D5761616463483431386F5A5A63626A33542D6F305351376853576D6F486F466B69497175353253474A6F7758474D62436765636671517155346B4F44535A354E67354B65683043446E347163786C4B5077427152465274666D783350787370556773716A52706950705150646B73755A413969596A384B506739486144512D44493956574463655432364B33696A76455154376547374E47766F6B72424141
64,4,2,,2016-03-16 23:54:03.4630000,2016-03-16 23:54:08.4490000,4E72424D4159475A49476E42644777434D424F41484C6341365A69576F42737963326F2B61417249615A426170567467437A366A4B4F6D567651303646746D34537151447367794F464C6F4A7155716B484E59654A4B4571706D4D5A4C6A616A496F72575462706B6F513356586F6868317063705474334F35753043374937654C73315152704A4E457A587774675346424364426866573144495A6839734A316A5245563833575051457277793558786C2D534651535877554339526849624854495A424D4B37477A4A637372383050426B456B72537346525557426A5144414E6D4855744D6D42487953334161455A44515555574A6C6C3143576354567378483068654A6C3858676741
65,4,2,,2016-03-16 23:54:09.5090000,2016-03-16 23:54:14.4540000,4E72424D485945344759426F41594336737955675267514F6E63343131705274513843414F41466D326A4E486A6E69307276586D77465A584773413256366B3342313434574F6A356C306F61684F45706F386375776E6B7938446E416D52316C447246494C346C59714279374D5A772D676138447A504B456956325A72696C446C652B732D772D6C6F4D544E354D484949657A562D475873644B4F4A61663070716143787252576849574253452D48527766525357425642514171783366426C6B795156417A4253513641346B724B78492D4634585674694F714667696A736832536E4D46586D642B314C4A782D524861524341
66,4,2,,2016-03-16 23:54:17.0450000,2016-03-16 23:54:20.4590000,4E72444D485945594659426F41594336737741357033674F6B7373424F414E6B495377435938415765656355304B2B4D2B5579765566664F794864776A3244776F70516C537479774D5245536F4B7874706C456A326A7434715A566B4A347971634B6A6E67643451684E5447796D2D447443585977344A4877623776464A465355445A636E6B6A686E56796C48614431584255635045683956464878525632305554306858493254494668397A4645495056327352664668676746706D45726467557368553046385555726836344A675365725A454941
67,4,2,,2016-03-16 23:54:20.5280000,2016-03-16 23:54:25.4650000,4E72444D415A51476E42644B77445941734D42304247655941636A30424D326F416E414B7A716A456B37724C556E706E624C6A37686F6B73364E594A6E68656D62414B4646595141
103,4,2,,2016-03-17 00:09:58.9440000,2016-03-17 00:10:01.9470000,4E724373455A514767426758536D417A414A6C674F6E4135534D7536436742775A4945706F7A6F417363635141
98,4,8,,2016-03-16 23:53:57.5530000,2016-03-16 23:53:58.4270000,
104,4,8,,2016-03-16 23:55:32.8700000,2016-03-17 00:09:57.8680000,
68,4,16,,2016-03-16 23:53:58.4400000,2016-03-16 23:53:58.5040000,4E72424D44594559426F425A664E41444158525541
